FECHA PRECIO,ANIO,MES,DIA,DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO DANE,PRODUCTO,VALOR PRECIO
07 Apr 2023,2023,4,7,NARIÑO,SAN ANDRES DE TUMACO,52835,GASOLINA CORRIENTE,9350
07 Apr 2023,2023,4,7,NARIÑO,SAN ANDRES DE TUMACO,52835,GASOLINA CORRIENTE,9350
07 Apr 2023,2023,4,7,NARIÑO,SAN ANDRES DE TUMACO,52835,GASOLINA CORRIENTE,9350
07 Apr 2023,2023,4,7,NARIÑO,SAN ANDRES DE TUMACO,52835,GASOLINA CORRIENTE,9350
01 Apr 2023,2023,4,1,BOLIVAR,CARTAGENA DE INDIAS,13001,ACPM,8949
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,PALMIRA,76520,ACPM,9230
18 Apr 2023,2023,4,18,CESAR,SAN ALBERTO,20710,GASOLINA EXTRA,19250
13 Apr 2023,2023,4,13,NORTE DE SANTANDER,EL TARRA,54250,ACPM,7463
03 Apr 2023,2023,4,3,CUNDINAMARCA,SASAIMA,25718,GASOLINA CORRIENTE,11575
01 Apr 2023,2023,4,1,SANTANDER,LOS SANTOS,68418,GASOLINA CORRIENTE,11130
01 Apr 2023,2023,4,1,CAUCA,POPAYAN,19001,GASOLINA EXTRA,18900
10 Apr 2023,2023,4,10,CALDAS,LA MERCED,17388,ACPM,9420
19 Apr 2023,2023,4,19,PUTUMAYO,VILLAGARZON,86885,GASOLINA CORRIENTE,12100
24 Apr 2023,2023,4,24,CESAR,AGUACHICA,20011,GASOLINA CORRIENTE,9411
01 Apr 2023,2023,4,1,ANTIOQUIA,MEDELLIN,05001,GASOLINA EXTRA,21780
01 Apr 2023,2023,4,1,CUNDINAMARCA,PASCA,25535,ACPM,9650
01 Apr 2023,2023,4,1,CUNDINAMARCA,MADRID,25430,ACPM,9070
01 Apr 2023,2023,4,1,BOLIVAR,ARJONA,13052,GASOLINA CORRIENTE,10449
02 Apr 2023,2023,4,2,PUTUMAYO,SAN FRANCISCO,86755,ACPM,9600
03 Apr 2023,2023,4,3,CUNDINAMARCA,SUESCA,25772,ACPM,9268
04 Apr 2023,2023,4,4,ANTIOQUIA,COCORNA,05197,ACPM,9297
01 Apr 2023,2023,4,1,SANTANDER,SAN GIL,68679,GASOLINA EXTRA,19360
03 Apr 2023,2023,4,3,CESAR,SAN MARTIN,20770,GASOLINA CORRIENTE,9400
01 Apr 2023,2023,4,1,ANTIOQUIA,MEDELLIN,05001,GASOLINA CORRIENTE,11450
20 Apr 2023,2023,4,20,NORTE DE SANTANDER,OCAÑA,54498,GASOLINA CORRIENTE,10070
02 Apr 2023,2023,4,2,HUILA,IQUIRA,41357,GASOLINA CORRIENTE,12046
03 Apr 2023,2023,4,3,BOYACA,DUITAMA,15238,ACPM,8895
13 Apr 2023,2023,4,13,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,11800
02 Apr 2023,2023,4,2,LA GUAJIRA,SAN JUAN DEL CESAR,44650,KEROSENE,9800
12 Apr 2023,2023,4,12,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,ACPM,9610
02 Apr 2023,2023,4,2,TOLIMA,VENADILLO,73861,GASOLINA CORRIENTE,11370
03 Apr 2023,2023,4,3,BOYACA,TIBASOSA,15806,ACPM,9480
02 Apr 2023,2023,4,2,CUNDINAMARCA,TENJO,25799,GASOLINA CORRIENTE,11399
05 Apr 2023,2023,4,5,QUINDIO,CALARCA,63130,GASOLINA CORRIENTE,11390
03 Apr 2023,2023,4,3,VALLE DEL CAUCA,JAMUNDI,76364,ACPM,9470
01 Apr 2023,2023,4,1,ANTIOQUIA,MEDELLIN,05001,ACPM,9720
01 Apr 2023,2023,4,1,CUNDINAMARCA,ANOLAIMA,25040,ACPM,9210
01 Apr 2023,2023,4,1,NARIÑO,BARBACOAS,52079,ACPM,8790
01 Apr 2023,2023,4,1,LA GUAJIRA,MAICAO,44430,KEROSENE,9600
01 Apr 2023,2023,4,1,LA GUAJIRA,MAICAO,44430,KEROSENE,9600
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,LA VICTORIA,76403,GASOLINA CORRIENTE,11050
01 Apr 2023,2023,4,1,ANTIOQUIA,HISPANIA,05353,GASOLINA EXTRA,20500
01 Apr 2023,2023,4,1,RISARALDA,PEREIRA,66001,GASOLINA CORRIENTE,11390
01 Apr 2023,2023,4,1,RISARALDA,PEREIRA,66001,GASOLINA CORRIENTE,11390
20 Apr 2023,2023,4,20,NARIÑO,RICAURTE,52612,ACPM,8700
04 Apr 2023,2023,4,4,CORDOBA,MONTERIA,23001,GASOLINA EXTRA,19810
03 Apr 2023,2023,4,3,NARIÑO,MAGUI,52427,ACPM,8750
22 Apr 2023,2023,4,22,NARIÑO,SAN ANDRES DE TUMACO,52835,ACPM,9180
22 Apr 2023,2023,4,22,NARIÑO,SAN ANDRES DE TUMACO,52835,ACPM,9180
22 Apr 2023,2023,4,22,NARIÑO,SAN ANDRES DE TUMACO,52835,ACPM,9180
01 Apr 2023,2023,4,1,PUTUMAYO,PUERTO ASIS,86568,GASOLINA CORRIENTE,10660
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,CALI,76001,GASOLINA EXTRA,19265
10 Apr 2023,2023,4,10,CESAR,AGUACHICA,20011,ACPM,8100
07 Apr 2023,2023,4,7,NARIÑO,POLICARPA,52540,GASOLINA CORRIENTE,8470
04 Apr 2023,2023,4,4,TOLIMA,ROVIRA,73624,ACPM,9560
